Rainfall_MM;Year;Statistics;Country;ISO3;
40.3495;1901;Jan;Average;Belgium;BEL
32.2644;1901;Feb;Average;Belgium;BEL
68.7418;1901;Mar;Average;Belgium;BEL
65.6921;1901;Apr;Average;Belgium;BEL
30.4496;1901;May;Average;Belgium;BEL
57.9736;1901;Jun;Average;Belgium;BEL
45.5922;1901;Jul;Average;Belgium;BEL
57.9958;1901;Aug;Average;Belgium;BEL
81.6926;1901;Sep;Average;Belgium;BEL
87.9293;1901;Oct;Average;Belgium;BEL
40.7671;1901;Nov;Average;Belgium;BEL
74.4947;1901;Dec;Average;Belgium;BEL
46.9536;1902;Jan;Average;Belgium;BEL
41.6082;1902;Feb;Average;Belgium;BEL
47.2676;1902;Mar;Average;Belgium;BEL
45.149;1902;Apr;Average;Belgium;BEL
84.38;1902;May;Average;Belgium;BEL
59.151;1902;Jun;Average;Belgium;BEL
58.5176;1902;Jul;Average;Belgium;BEL
99.2138;1902;Aug;Average;Belgium;BEL
61.1146;1902;Sep;Average;Belgium;BEL
60.51;1902;Oct;Average;Belgium;BEL
33.1273;1902;Nov;Average;Belgium;BEL
78.9106;1902;Dec;Average;Belgium;BEL
62.2603;1903;Jan;Average;Belgium;BEL
38.5551;1903;Feb;Average;Belgium;BEL
62.8824;1903;Mar;Average;Belgium;BEL
112.09;1903;Apr;Average;Belgium;BEL
45.6176;1903;May;Average;Belgium;BEL
55.7254;1903;Jun;Average;Belgium;BEL
104.049;1903;Jul;Average;Belgium;BEL
82.3573;1903;Aug;Average;Belgium;BEL
78.1177;1903;Sep;Average;Belgium;BEL
118.554;1903;Oct;Average;Belgium;BEL
77.7098;1903;Nov;Average;Belgium;BEL
28.936;1903;Dec;Average;Belgium;BEL
54.6242;1904;Jan;Average;Belgium;BEL
83.0675;1904;Feb;Average;Belgium;BEL
56.5978;1904;Mar;Average;Belgium;BEL
23.2931;1904;Apr;Average;Belgium;BEL
50.8342;1904;May;Average;Belgium;BEL
49.1401;1904;Jun;Average;Belgium;BEL
